ATHLETE_NAME,CATEGORY,AUTOGRAPH_COST,SOUVENIR_COST,SOUVENIR,ADDITIONAL_COST,ADDITIONAL_COST_DETAILS,Total,Quanity,,
AJ Green,Football,$50.00 ,$25.00 ,UGA Football,$40.00 ,Display Case,$230.00 ,2,,
Allison Mack,Actor,$35.00 ,$10.00 ,Poster,$0.00 ,N/A,$45.00 ,1,,
Alonzo Mourning,Basketball,$0.00 ,$40.00 ,Basketball,$0.00 ,N/A,$40.00 ,1,,
Anthony Davis,Basketball,$0.00 ,$0.00 ,Poster,$15.00 ,Frame,$15.00 ,1,,
Bill Walton,Basketball,$0.00 ,$75.00 ,Sports Card - Rookie,$0.00 ,N/A,$75.00 ,1,,
Chris Mullin,Basketball,$75.00 ,$25.00 ,Jersey,$25.00 ,Shipping / COA,$125.00 ,1,,
David Robinson,Basketball,$0.00 ,$125.00 ,Basketball,$40.00 ,Display Case,$165.00 ,1,,
David Robinson,Basketball,$0.00 ,$15.00 ,USNA Flag,$0.00 ,N/A,$15.00 ,1,,
David Robinson ,Basketball,$0.00 ,$25.00 ,Jersey,$0.00 ,N/A,$25.00 ,1,,
Dick Vitale / Bill Walton,Basketball,$0.00 ,$35.00 ,Mini-Basketball,$0.00 ,N/A,$35.00 ,1,,
Dominique Wilkins,Basketball,$35.00 ,$25.00 ,Jersey,$15.00 ,Shipping,$75.00 ,1,,
Hershel Walker,Football,$50.00 ,$25.00 ,Picture,$10.00 ,Frame,$85.00 ,1,,
Jerry Stackhouse,Basketball,$0.00 ,$40.00 ,Basketball,$0.00 ,N/A,$40.00 ,1,,
Jodie Meeks,Basketball,$0.00 ,$0.00 ,Poster,$15.00 ,Frame,$15.00 ,1,,
John Calipari,Basketball,$50.00 ,$0.00 ,Makers Mark Bottle,$15.00 ,Shipping,$65.00 ,1,,
John Havlicek,Basketball,$0.00 ,$35.00 ,Mini-Basketball,$0.00 ,N/A,$35.00 ,1,,
John Wall,Basketball,$0.00 ,$0.00 ,Basketball,$40.00 ,Display Case,$40.00 ,1,,
Julius Erving,Basketball,$179.00 ,$71.20 ,Basketball,$40.00 ,Display Case,$290.20 ,1,,
Julius Randle / James Young,Basketball,$55.00 ,$85.00 ,Basketball,$0.00 ,N/A,$140.00 ,1,,
Kareem Abdul-Jabbar/James Worthy,Basketball,$0.00 ,$125.00 ,Basketball,$40.00 ,Display Case,$165.00 ,1,,
Larry Bird,Basketball,$180.00 ,$25.00 ,Jersey,$250.00 ,Framing,$455.00 ,1,,
Magic Johnson,Basketball,$159.00 ,$25.00 ,Jersey,$250.00 ,Framing,$434.00 ,1,,
Mark Richt,Football,$0.00 ,$25.00 ,Football,$40.00 ,Display Case,$65.00 ,1,,
Masters Flag,Golf,$0.00 ,$50.00 ,Flag,$300.00 ,Framing,$350.00 ,1,,
Michael Vick,Football,$75.00 ,$50.00 ,Football,$40.00 ,Display Case,$165.00 ,1,,
Napoleon Dynamite,Actor,$35.00 ,$10.00 ,Poster,$15.00 ,Frame,$60.00 ,1,,
Patrick Ewing,Basketball,$180.00 ,$25.00 ,Jersey,$15.00 ,Shipping,$220.00 ,1,,
Peyton Manning,Football,$350.00 ,$25.00 ,Football,$40.00 ,Display Case,$415.00 ,1,,
Randall Cobb,Football,$50.00 ,$25.00 ,Football,$40.00 ,Display Case,$115.00 ,1,,
Shaquille O'Neal,Basketball,$249.00 ,$25.00 ,Jersey,$250.00 ,Framing,$524.00 ,1,,
Stan Lee,Comics,$85.00 ,$10.00 ,Poster,$15.00 ,Frame,$110.00 ,1,,
Tony Gwynn,Baseball,$99.00 ,$75.00 ,Baseball Bat,$0.00 ,N/A,$174.00 ,1,,
Tubby Smith,Basketball,$0.00 ,$0.00 ,SI Book,$0.00 ,N/A,$0.00 ,1,,
UK 1996 Basketball,Basketball,$0.00 ,$0.00 ,Basketball,$40.00 ,Display Case,$40.00 ,1,,
UK 2012 Basketball,Basketball,$180.00 ,$50.00 ,Basketball,$100.00 ,Display Case,$330.00 ,1,,
UK 2012 Basketball Poster,Basketball,$0.00 ,$0.00 ,Poster,$15.00 ,Frame,$15.00 ,1,,
Marshawn Lynch,Football,$150.00 ,$100.00 ,Super Bowl Football,$6.00 ,JSA Certification,$256.00 ,1,,
Ozzie Smith,Baseball,$60.00 ,$20.00 ,Hall of Fame Baseball,$29.50 ,HOF Inscription/S&H,$109.50 ,1,,
Frank Thomas,Baseball,$99.00 ,$20.00 ,Hall of Fame Baseball,$54.50 ,HOF Inscription/S&H,$173.50 ,1,,
Shawn Kemp,Basketball,$49.00 ,$25.00 ,Jersey,$4.50 ,Shipping,$78.50 ,1,,
Scottie Pippen,Basketball,$209.00 ,$25.00 ,Jersey,$4.50 ,Shipping,$238.50 ,1,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,Grand Total,"$6,048.20 "
